"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Fair","Fair","Poor","Poor","Poor","Fair","Good","Good","Good","Good","Good","Good"
"","Poor","Good","Fair","Fair","Poor","Poor","Fair","Good","Good","Good","Good","Good"
"","Good","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Good","Fair","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Fair","Fair","Good","Good","Fair","Poor","Poor","Poor","Poor","Poor","Good"
"","Poor","Poor","Good","Fair","Fair","Poor","Fair","Fair","Fair","Fair","Fair","Good"
"","Poor","Poor","Good","Fair","Fair","Poor","Fair","Good","Good","Good","Good","Good"
"","Poor","Poor","Fair","Fair","Fair","Fair","Good","Good","Good","Good","Good","Good"
"Mean","Poor","Poor","Fair","Fair","Fair","Fair","Good","Good","Good","Fair","Fair","Fair"
"SD","Fair","Poor","Fair","Fair","Fair","Good","Good","Good","Good","Good","Good","Poor"
