"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Poor","Poor","Poor","Poor","Good","Good","Good","Fair","Good","Fair","Poor","Poor"
"","Good","Good","Good","Good","Good","Good","Good","Fair","Good","Fair","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Fair","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Fair"
"","Fair","Fair","Good","Good","Good","Good","Good","Good","Good","Poor","Good","Good"
"","Fair","Fair","Fair","Good","Good","Good","Good","Good","Poor","Poor","Good","Good"
"Mean","Poor","Good","Good","Good","Good","Good","Good","Good","Fair","Poor","Good","Good"
"SD","Poor","Fair","Fair","Good","Good","Good","Good","Good","Poor","Poor","Good","Good"
