"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Good","Good","Fair","Fair","Good","Fair","Good","Fair","Good","Poor","Good","Good"
"5th","Good","Fair","Good","Good","Fair","Good","Good","Fair","Good","Poor","Good","Fair"
"95th","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SDWetDay","Fair","Good","Good","Good","Good","Poor","Fair","Poor","Good","Fair","Good","Good"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
