"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Poor","Good","Poor","Good","Good"
"SD","Good","Good","Fair","Good","Fair","Fair","Fair","Good","Fair","Fair","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Fair","Good","Good","Good","Good","Fair","Good","Good","Good","Poor","Good","Good"
"5th","Poor","Poor","Poor","Poor","Good","Poor","Good","Fair","Good","Fair","Good","Good"
"95th","Good","Good","Good","Good","Good","Good","Fair","Good","Good","Poor","Good","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Poor","Fair","Poor","Good","Good"
"SDWetDay","Good","Good","Good","Good","Fair","Good","Fair","Poor","Good","Fair","Good","Good"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
