"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Good","Good","Good","Good","Fair","Good","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Good","Good","Fair","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Fair","Fair","Fair","Good","Good","Good","Good","Good","Good","Fair","Good"
"","Good","Good","Fair","Poor","Good","Good","Good","Good","Fair","Good","Good","Good"
"","Good","Good","Fair","Fair","Good","Good","Fair","Good","Fair","Good","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Fair","Good","Fair","Fair","Fair","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good","Fair"
"Mean","Good","Good","Fair","Fair","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Good","Good"
