"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Fair","Good","Good","Good","Poor","Poor","Fair","Good","Fair","Fair","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Poor","Poor","Poor","Poor","Poor","Good","Fair","Poor","Fair","Poor","Poor","Poor"
"5th","Poor","Poor","Poor","Good","Fair","Good","Good","Good","Good","Good","Fair","Good"
"95th","Fair","Fair","Fair","Fair","Good","Good","Poor","Good","Fair","Good","Poor","Poor"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SDWetDay","Poor","Good","Fair","Fair","Good","Good","Good","Poor","Fair","Poor","Poor","Good"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
