"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Poor","Good","Poor","Good","Good","Good","Good","Poor"
"SD","Good","Poor","Fair","Good","Poor","Good","Poor","Good","Poor","Good","Good","Poor"
"Skew","Good","Poor","Fair","Good","Poor","Poor","Poor","Good","Poor","Good","Good","Poor"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor"
"SD","Good","Good","Poor","Poor","Good","Good","Good","Good","Fair","Poor","Fair","Poor"
"5th","Good","Fair","Fair","Good","Poor","Good","Poor","Fair","Good","Good","Poor","Poor"
"95th","Good","Good","Poor","Fair","Fair","Good","Good","Fair","Good","Good","Good","Fair"
"MeanWetDay","Good","Good","Good","Good","Poor","Poor","Poor","Good","Good","Good","Good","Poor"
"SDWetDay","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor"
