"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Good","Fair","Fair","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor"
"","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor"
"","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Fair"
"","Poor","Poor","Fair","Poor","Fair","Good","Good","Good","Good","Good","Good","Poor"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"","Good","Fair","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good"
"","Fair","Poor","Poor","Fair","Good","Good","Good","Good","Fair","Good","Fair","Fair"
"Mean","Good","Poor","Fair","Fair","Good","Fair","Good","Good","Fair","Fair","Fair","Fair"
"SD","Fair","Poor","Fair","Fair","Good","Fair","Good","Good","Fair","Fair","Good","Fair"
