"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Fair","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair"
"","Good","Good","Good","Good","Good","Good","Fair","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Poor","Good","Good","Good","Good","Good"
"","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Fair"
"","Fair","Fair","Good","Fair","Good","Good","Good","Good","Good","Fair","Fair","Poor"
"","Fair","Poor","Poor","Fair","Fair","Good","Fair","Good","Good","Fair","Poor","Poor"
"","Fair","Poor","Fair","Fair","Fair","Poor","Poor","Good","Fair","Fair","Fair","Fair"
"","Good","Fair","Fair","Fair","Poor","Poor","Fair","Fair","Good","Good","Fair","Good"
"Mean","Fair","Poor","Fair","Fair","Poor","Good","Good","Good","Good","Fair","Fair","Fair"
"SD","Good","Fair","Fair","Fair","Poor","Poor","Poor","Fair","Good","Good","Good","Good"
