"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"","Fair","Poor","Poor","Poor","Poor","Poor","Fair","Fair","Fair","Fair","Fair","Fair"
"","Fair","Poor","Poor","Poor","Poor","Poor","Fair","Fair","Fair","Fair","Fair","Fair"
"","Poor","Poor","Poor","Poor","Poor","Poor","Fair","Fair","Fair","Fair","Fair","Fair"
"","Poor","Poor","Poor","Poor","Poor","Poor","Fair","Fair","Fair","Fair","Fair","Fair"
"","Good","Good","Poor","Fair","Fair","Good","Good","Fair","Good","Good","Good","Good"
"","Poor","Fair","Good","Good","Good","Good","Good","Good","Fair","Good","Good","Fair"
"","Poor","Poor","Fair","Good","Fair","Fair","Fair","Good","Poor","Good","Good","Poor"
"","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Good","Fair","Poor","Poor","Poor"
"Mean","Fair","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Poor"
"SD","Poor","Poor","Poor","Poor","Poor","Poor","Fair","Good","Fair","Poor","Poor","Poor"
