"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Poor","Poor","Poor","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"SD","Poor","Poor","Poor","Fair","Poor","Good","Good","Good","Good","Good","Poor","Good"
"Skew","Poor","Poor","Poor","Good","Fair","Good","Good","Good","Good","Good","Poor","Fair"
"Mean","Good","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"SD","Poor","Poor","Poor","Poor","Good","Poor","Poor","Good","Fair","Good","Poor","Fair"
"5th","Poor","Poor","Poor","Good","Good","Good","Good","Good","Fair","Fair","Poor","Good"
"95th","Good","Good","Good","Good","Good","Poor","Good","Good","Good","Good","Fair","Good"
"MeanWetDay","Poor","Poor","Poor","Good","Good","Good","Good","Good","Good","Good","Fair","Good"
"SDWetDay","Poor","Poor","Poor","Good","Good","Good","Good","Good","Poor","Fair","Poor","Good"
"Mean3DayTotal","Good","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"Mean5DayTotal","Good","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
