"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Poor","Poor","Good"
"SD","Fair","Good","Fair","Good","Fair","Fair","Fair","Poor","Good","Fair","Poor","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Poor","Good","Poor","Poor","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"SD","Good","Good","Good","Good","Good","Fair","Good","Good","Good","Poor","Poor","Good"
"5th","Poor","Poor","Poor","Poor","Good","Poor","Good","Good","Good","Poor","Poor","Good"
"95th","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Poor","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Poor","Poor","Good","Poor","Poor","Good"
"SDWetDay","Good","Good","Good","Good","Fair","Good","Fair","Fair","Good","Fair","Poor","Good"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Good"
