"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Good","Good","Good","Good","Good","Good","Good","Good","Fair","Good","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Good","Fair","Good","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Fair"
"5th","Good","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Fair"
"95th","Good","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Fair","Poor","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SDWetDay","Good","Good","Poor","Good","Poor","Fair","Good","Good","Fair","Poor","Fair","Fair"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
