"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Fair","Good","Poor","Fair","Good","Good","Poor","Good","Good","Poor","Good"
"SD","Fair","Poor","Good","Poor","Good","Fair","Fair","Poor","Good","Poor","Poor","Good"
"Skew","Poor","Poor","Good","Poor","Good","Good","Fair","Poor","Good","Poor","Poor","Fair"
"Mean","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Fair"
"SD","Good","Good","Fair","Fair","Poor","Fair","Poor","Good","Good","Good","Poor","Good"
"5th","Poor","Good","Good","Poor","Good","Good","Good","Good","Good","Poor","Poor","Good"
"95th","Fair","Poor","Good","Fair","Poor","Good","Poor","Fair","Good","Good","Good","Good"
"MeanWetDay","Good","Poor","Good","Poor","Good","Good","Good","Poor","Good","Good","Fair","Poor"
"SDWetDay","Fair","Fair","Poor","Poor","Poor","Poor","Poor","Poor","Good","Poor","Poor","Poor"
"Mean3DayTotal","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Fair"
"Mean5DayTotal","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Poor","Fair"
